iter	Logloss
0	0.5616812961
1	0.4941058645
2	0.456618565
3	0.4337771269
4	0.4207551079
5	0.4142734728
6	0.4103321365
7	0.4076980311
8	0.4065099025
9	0.404128161
10	0.4029063225
11	0.4024609646
12	0.4019737241
13	0.4016988132
14	0.401283706
15	0.4009986788
16	0.4008374677
17	0.4007107932
18	0.4006067846
19	0.400564518
20	0.4003217066
21	0.4001373566
22	0.4000656317
23	0.4000499188
24	0.3998391544
25	0.3997218202
26	0.3995676172
27	0.399302992
28	0.3992584222
29	0.3991503785
30	0.3990107759
31	0.3989937756
32	0.398760542
33	0.3985659979
34	0.3983158612
35	0.3981938333
36	0.3980152682
37	0.3978189954
38	0.3977793736
39	0.3977109934
40	0.3975497895
41	0.3974831229
42	0.3972556292
43	0.3971802687
44	0.3971324144
45	0.3970383009
46	0.396895974
47	0.3968873736
48	0.3966981665
49	0.3964280378
50	0.3963028378
51	0.3961895526
52	0.3960347867
53	0.3959454655
54	0.3959297647
55	0.3957912976
56	0.3957829586
57	0.3957766297
58	0.3957607727
59	0.3956764101
60	0.3956231285
61	0.3955182379
62	0.3954802006
63	0.3953773599
64	0.3953713677
65	0.395280127
66	0.3952652992
67	0.3951810825
68	0.3950721209
69	0.395066578
70	0.3950604161
71	0.3950499154
72	0.3949588067
73	0.3949214144
74	0.3949055036
75	0.3947131764
76	0.3945452164
77	0.3943304869
78	0.3942579324
79	0.3942249308
80	0.3940390628
81	0.3939056326
82	0.3938612001
83	0.3937651981
84	0.3937035597
85	0.3935922529
86	0.3935410275
87	0.3934670068
88	0.3934079085
89	0.3933339873
90	0.3932527506
91	0.3932489257
92	0.3932308323
93	0.3931996768
94	0.3931391406
95	0.3929699318
96	0.39290277
97	0.3928863521
98	0.3926935866
99	0.3926569239
