iter	Passed	Remaining
0	331	32821
1	396	19430
2	432	13984
3	474	11387
4	500	9500
5	576	9034
6	641	8525
7	661	7608
8	724	7323
9	792	7129
10	866	7012
11	928	6810
12	988	6614
13	1067	6560
14	1136	6438
15	1199	6298
16	1263	6170
17	1329	6057
18	1359	5797
19	1423	5693
20	1490	5606
21	1561	5536
22	1621	5428
23	1685	5338
24	1739	5218
25	1805	5138
26	1873	5064
27	1935	4975
28	2001	4900
29	2038	4755
30	2107	4691
31	2171	4613
32	2237	4543
33	2304	4474
34	2373	4408
35	2439	4336
36	2502	4261
37	2569	4192
38	2633	4119
39	2695	4043
40	2760	3973
41	2827	3905
42	2892	3833
43	2951	3756
44	3017	3688
45	3087	3624
46	3160	3563
47	3224	3493
48	3290	3425
49	3356	3356
50	3423	3288
51	3487	3219
52	3555	3152
53	3616	3080
54	3679	3010
55	3742	2940
56	3813	2876
57	3879	2809
58	3942	2739
59	4009	2672
60	4078	2607
61	4142	2539
62	4204	2469
63	4268	2401
64	4342	2338
65	4407	2270
66	4480	2206
67	4548	2140
68	4619	2075
69	4680	2006
70	4748	1939
71	4820	1874
72	4896	1811
73	4956	1741
74	5023	1674
75	5088	1606
76	5152	1539
77	5216	1471
78	5282	1404
79	5345	1336
80	5412	1269
81	5472	1201
82	5535	1133
83	5597	1066
84	5660	998
85	5728	932
86	5790	865
87	5853	798
88	5921	731
89	5983	664
90	6048	598
91	6112	531
92	6183	465
93	6239	398
94	6300	331
95	6362	265
96	6429	198
97	6493	132
98	6554	66
99	6616	0
